mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.736539888381958,0.20318961539291222,0.01905670166015625,0.0049798968490379295,0.8,100,5,0.2,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.2}",0.8724637681159421,0.8608695652173913,0.8287373004354136,0.8476052249637155,0.8635703918722787,0.8546492501209482,0.01520975718650192,5
0.4985348701477051,0.11432649537144175,0.014237785339355468,0.010762061364540308,1.0,100,3,0.1,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",0.8623188405797102,0.8724637681159421,0.8548621190130624,0.8534107402031931,0.8708272859216255,0.8627765507667066,0.007864129355700716,1
0.5181128978729248,0.11658161014918088,0.018230724334716796,0.009256625851428592,0.6,100,5,0.2,"{'subsample': 0.6, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.2}",0.8492753623188406,0.8521739130434782,0.8287373004354136,0.841799709724238,0.865021770682148,0.8474016112408238,0.011970744544748694,8
0.4464708805084229,0.2576135225910489,0.01568160057067871,0.008839960082478978,1.0,100,3,0.2,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2}",0.8521739130434782,0.8623188405797102,0.841799709724238,0.8577648766328012,0.872278664731495,0.8572672009423445,0.010161650017734229,4
1.6733946800231934,0.7049178542941587,0.0332890510559082,0.009858257787487985,0.6,200,10,0.2,"{'subsample': 0.6, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.2}",0.8478260869565217,0.8536231884057971,0.8243831640058055,0.8534107402031931,0.8505079825834543,0.8459502324309544,0.010990575842241097,9
0.4863275051116943,0.15019816981127856,0.01161198616027832,0.0025385776331414245,1.0,100,5,0.2,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.2}",0.855072463768116,0.8565217391304348,0.8403483309143687,0.8577648766328012,0.8621190130624092,0.8543652847016261,0.007393279653861936,6
0.5776724338531494,0.13444432046469584,0.014710760116577149,0.004409038205202113,1.0,100,5,0.1,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",0.8536231884057971,0.8666666666666667,0.8403483309143687,0.8592162554426706,0.8751814223512336,0.8590071727561472,0.011810652639550136,2
0.3069775104522705,0.08610085019921183,0.011931371688842774,0.002826665695269256,0.6,100,3,0.2,"{'subsample': 0.6, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2}",0.8652173913043478,0.8695652173913043,0.8287373004354136,0.8577648766328012,0.8693759071117562,0.8581321385751247,0.015307056013181474,3
0.7102570533752441,0.23939467879891513,0.016179227828979494,0.012472975860952277,0.6,50,10,0.1,"{'subsample': 0.6, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.8608695652173913,0.8565217391304348,0.8301886792452831,0.8563134978229318,0.8592162554426706,0.8526219473717422,0.01134544435789655,7
0.2227048397064209,0.07289593338833532,0.011865568161010743,0.011329962393583345,1.0,50,3,0.01,"{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.01}",0.7855072463768116,0.7869565217391304,0.7648766328011611,0.7822931785195936,0.783744557329463,0.7806756273532319,0.008055274154328931,10
