mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12.612526512145996,3.049397947541842,0.019246959686279298,0.010817543966758257,1.0,200,5,1,5,0.01,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.01}",0.8652173913043478,0.8666666666666667,0.8461538461538461,0.8534107402031931,0.8592162554426706,0.8581329799541451,0.007615581051257025,4
6.001030015945434,1.7319106784762743,0.01275787353515625,0.0039049438129989777,0.8,200,10,2,3,0.2,"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 3, 'learning_rate': 0.2}",0.8594202898550725,0.8507246376811595,0.8330914368650217,0.8563134978229318,0.8592162554426706,0.8517532235333711,0.009844766359512742,6
3.0830411434173586,0.8391844590943588,0.01015019416809082,0.0037608164593457864,0.8,100,5,4,3,0.1,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 3, 'learning_rate': 0.1}",0.863768115942029,0.8739130434782608,0.8548621190130624,0.8563134978229318,0.872278664731495,0.8642270881975558,0.007863635677686161,1
17.043371725082398,2.9006002737378997,0.03176703453063965,0.023845079216109743,0.6,200,5,1,10,0.5,"{'subsample': 0.6, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10, 'learning_rate': 0.5}",0.8405797101449275,0.8289855072463768,0.6763425253991292,0.8388969521044993,0.8505079825834543,0.8070625354956775,0.06571556235774417,10
12.467464065551757,1.4545997152376247,0.022457170486450195,0.009442172439993884,0.8,100,2,4,10,0.2,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 10, 'learning_rate': 0.2}",0.855072463768116,0.8521739130434782,0.8330914368650217,0.8461538461538461,0.8635703918722787,0.8500124103405481,0.010151876267781525,8
3.620195484161377,0.8676984044098105,0.015229415893554688,0.007932529607421438,1.0,100,5,4,3,0.2,"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 3, 'learning_rate': 0.2}",0.8724637681159421,0.8623188405797102,0.8447024673439768,0.8606676342525399,0.865021770682148,0.8610348961948633,0.009110937473747836,3
5.704222536087036,1.5470181697554002,0.013864469528198243,0.006714491226579854,0.8,50,10,2,10,0.5,"{'subsample': 0.8, 'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 10, 'learning_rate': 0.5}",0.8507246376811595,0.8507246376811595,0.8388969521044993,0.8577648766328012,0.8519593613933236,0.8500140930985886,0.00613936943379081,7
37.262562942504886,6.418591215056325,0.03483743667602539,0.01597383290861996,1.0,200,2,1,10,0.2,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10, 'learning_rate': 0.2}",0.863768115942029,0.8579710144927536,0.8330914368650217,0.8505079825834543,0.865021770682148,0.8540720641130812,0.011679047101140544,5
2.5295459270477294,0.4182535055182838,0.010613584518432617,0.005844967837010019,0.8,100,2,2,3,0.1,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 3, 'learning_rate': 0.1}",0.8710144927536232,0.8710144927536232,0.8432510885341074,0.8505079825834543,0.872278664731495,0.8616133442712606,0.012255723071838432,2
6.843505001068115,0.5283525806971873,0.012585592269897462,0.00497367517452954,1.0,200,2,2,3,0.01,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 3, 'learning_rate': 0.01}",0.8536231884057971,0.8521739130434782,0.8272859216255443,0.8316400580551524,0.8374455732946299,0.8404337308849203,0.010685656954567446,9
