mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.931696987152099,1.811596079219734,0.5031619548797608,0.22107806429348098,200,0.1,"{'n_estimators': 200, 'learning_rate': 0.1}",0.8507246376811595,0.8695652173913043,0.8461538461538461,0.8461538461538461,0.8664731494920174,0.8558141393744346,0.010151376271364533,1
1.757814359664917,0.4790078894790001,0.13164372444152833,0.06615860279474428,50,1,"{'n_estimators': 50, 'learning_rate': 1}",0.8521739130434782,0.8536231884057971,0.8287373004354136,0.8316400580551524,0.8693759071117562,0.8471100734103196,0.015104374538995219,2
3.0880581378936767,1.0284815223472452,0.20462956428527831,0.07581878760019209,100,0.01,"{'n_estimators': 100, 'learning_rate': 0.01}",0.7855072463768116,0.7869565217391304,0.7648766328011611,0.783744557329463,0.7851959361393324,0.7812561788771797,0.008253105208260789,6
5.133583879470825,0.9021254334640083,0.44261822700500486,0.22557677918720298,200,1,"{'n_estimators': 200, 'learning_rate': 1}",0.8536231884057971,0.8405797101449275,0.8272859216255443,0.8403483309143687,0.8563134978229318,0.8436301297827138,0.010468404363146779,4
3.3461901187896728,1.2722553885700265,0.17154812812805176,0.07005444728904857,100,10,"{'n_estimators': 100, 'learning_rate': 10}",0.7855072463768116,0.7869565217391304,0.7648766328011611,0.783744557329463,0.7851959361393324,0.7812561788771797,0.008253105208260789,6
3.444461631774902,0.4391281549714696,0.22744131088256836,0.10420468146041766,100,1,"{'n_estimators': 100, 'learning_rate': 1}",0.855072463768116,0.8492753623188406,0.8287373004354136,0.8374455732946299,0.8621190130624092,0.8465299425758819,0.012021938247184909,3
5.924659013748169,1.5003204636313046,0.4308809757232666,0.16021872915112512,200,0.01,"{'n_estimators': 200, 'learning_rate': 0.01}",0.7855072463768116,0.7869565217391304,0.7648766328011611,0.783744557329463,0.7851959361393324,0.7812561788771797,0.008253105208260789,6
1.399640941619873,0.31963212463926394,0.12997326850891114,0.048364110288193485,50,0.1,"{'n_estimators': 50, 'learning_rate': 0.1}",0.8391304347826087,0.8449275362318841,0.8258345428156749,0.8519593613933236,0.8534107402031931,0.843052523085337,0.01001979766288581,5
5.831103563308716,1.1755300653279326,0.35765657424926756,0.11541050767567172,200,10,"{'n_estimators': 200, 'learning_rate': 10}",0.7855072463768116,0.7869565217391304,0.7648766328011611,0.783744557329463,0.7851959361393324,0.7812561788771797,0.008253105208260789,6
1.4309494495391846,0.39731762570813967,0.09606795310974121,0.03370739015030089,50,0.01,"{'n_estimators': 50, 'learning_rate': 0.01}",0.7188405797101449,0.7869565217391304,0.7155297532656023,0.7445573294629898,0.7402031930333817,0.7412174754422498,0.025553192689224194,10
